Do you wish to login as a standard user or admin?
Logged in as a standard user.
What is the account holder's name?
Logged in as John Doe.
What is the account number for withdrawal?
Valid account number 00001.
What is the amount you wish to withdrawal?
$505.00 is over the limit in standard mode.
$504.00 is over the limit in standard mode.
$503.00 is over the limit in standard mode.
$502.00 is over the limit in standard mode.
$501.00 is over the limit in standard mode.
$500.99 is over the limit in standard mode.
$500.01 is over the limit in standard mode.
$500.00 has been withdrawn from account number 00001.
You have reached your daily limit of $500.00.
logout: Valid command.
